"endTime","artistName","trackName","minutesPlayed"
2021-08-01 22:51:00,"Billie Eilish","LOST CAUSE",3.54
2021-08-01 22:54:00,"Mokita","COLORBLIND",3.23
2021-08-01 22:56:00,"Jeremy Zucker","ALWAYS, I'LL CARE",2.44
2021-08-01 22:59:00,"SHY Martin","ARE YOU HAPPY?",2.63
2021-08-01 23:02:00,"Sasha Alex Sloan","LIE",3.49
2021-08-01 23:06:00,"Alexander 23","IDK YOU YET",3.08
2021-08-01 23:09:00,"Conan Gray","HEATHER",3.3
2021-08-01 23:12:00,"Maximillian","RIPPLES",3.26
2021-08-01 23:16:00,"Astrid S","IT'S OK IF YOU FORGET ME",3.42
2021-08-01 23:19:00,"JP Saxe","IF THE WORLD WAS ENDING (FEAT. JULIA MICHAELS)",3.48
2021-08-01 23:22:00,"Alexander 23","NOTHING'S THE SAME",2.92
2021-08-01 23:26:00,"Anson Seabra","WALKED THROUGH HELL",3.61
2021-08-01 23:30:00,"Why Don't We","GREY",4.63
2021-08-01 23:34:00,"Ashe","MORAL OF THE STORY (FEAT. NIALL HORAN)",3.31
2021-08-01 23:36:00,"Jake Scott","LIKE NO ONE DOES",2.64
2021-08-01 23:38:00,"Fiji Blue","SPACE MAKES ME SAD",2.27
2021-08-01 23:42:00,"Lauv","LOVE LIKE THAT",3.08
2021-08-01 23:45:00,"JP Saxe","LINE BY LINE (FEAT. MAREN MORRIS)",3.47
2021-08-01 23:48:00,"Selena Gomez","LOSE YOU TO LOVE ME",3.44
2021-08-01 23:51:00,"Griff","SHADE OF YELLOW",2.62
2021-08-01 23:54:00,"Alexander 23","BRAINSTORM",3.08
2021-08-01 23:57:00,"Alec Benjamin","OH MY GOD",3.13
2021-08-02 00:01:00,"Lewis Capaldi","BEFORE YOU GO",3.59
2021-08-02 00:04:00,"Blake Rose","GONE",3.42
2021-08-02 00:08:00,"LÉON","HOPE IS A HEARTACHE",3.36
2021-08-02 00:11:00,"Maximillian","STILL ALIVE",3.21
2021-08-02 00:14:00,"Kygo","GONE ARE THE DAYS (FEAT. JAMES GILLESPIE)",3.28
2021-08-02 00:18:00,"John K","6 MONTHS",3.62
2021-08-02 00:20:00,"Kina","WISH I WAS BETTER",2.34
2021-08-02 00:24:00,"Ashe","TILL FOREVER FALLS APART",3.71
2021-08-02 00:26:00,"OneRepublic","BETTER DAYS",2.41
2021-08-02 00:30:00,"Harry Styles","FALLING",4
2021-08-02 00:34:00,"Miley Cyrus","ANGELS LIKE YOU",3.27
2021-08-02 00:37:00,"Julia Michaels","LITTLE DID I KNOW",3.27
2021-08-02 00:57:00,"LANY","NOBODY ELSE",0.82
2021-08-02 07:44:00,"LANY","NOBODY ELSE",2.48
2021-08-02 07:45:00,"EVAN GIIA","WESTWORLD",0.92
2021-08-02 07:48:00,"Bazzi","PARADISE",2.82
2021-08-02 07:49:00,"Whethan","GOOD NIGHTS (FEAT. MASCOLO)",0.24
2021-08-02 07:49:00,"Dominic Fike","PHONE NUMBERS",1.17
2021-08-02 07:53:00,"Louis The Child","LITTLE THINGS (WITH QUINN XCII & CHELSEA CUTLER)",3.29
2021-08-02 08:04:00,"Bazzi","YOUNG & ALIVE",2.86
2021-08-02 08:09:00,"Louis The Child","BETTER NOT (WITH WAFIA)",3.41
2021-08-02 08:12:00,"Bryce Vine","SUNFLOWER SEEDS",0.88
2021-08-02 08:24:00,"Tropkillaz","LOKO",7.35
2021-08-02 08:24:00,"Sean Paul","TIP PON IT",0.12
2021-08-02 13:25:00,"Tropkillaz","LOKO",2.77
2021-08-02 13:29:00,"Jus Now","FIRE (SPOTIE) [FEAT. BUSY SIGNAL] [MAJOR LAZER REMIX]",2.98
2021-08-02 13:30:00,"Tropkillaz","LOKO",0.47
2021-08-02 13:33:00,"Mr Eazi","OH MY GAWD (FEAT. NICKI MINAJ & K4MO)",3
2021-08-02 13:33:00,"Major Lazer","LAY YOUR HEAD ON ME (FEAT. MARCUS MUMFORD)",0.11
2021-08-02 13:36:00,"Major Lazer","QUE CALOR (FEAT. J BALVIN & EL ALFA)",2.83
2021-08-02 13:38:00,"Major Lazer","MAKE IT HOT",2.81
2021-08-02 13:39:00,"Major Lazer","CAN'T TAKE IT FROM ME (FEAT. SKIP MARLEY)",0.27
2021-08-02 13:40:00,"Major Lazer","LEAN ON",1.26
2021-08-02 13:41:00,"Rudimental","LET ME LIVE (FEAT. ANNE-MARIE & MR EAZI)",1.55
